Country(UK),Records,Total_Units,Total_Revenue,Total_Profit,Avg_Profit_Margin,Avg_Profit_Margin_pct
England,156,272044.0,424584483.5,677189.25,0.003120781811082626,0.3120781811082626
Jersey,206,364190.0,628042403.5,899044.05,0.0031530529437734395,0.31530529437734395
N. Ireland,208,305086.0,434023594.79999995,740528.0,0.0038074677414813153,0.3807467741481315
Scotland,207,374062.0,633388869.0,926335.4,0.002716579630632557,0.2716579630632557
Wales,207,292079.0,391940994.4,718444.2,0.0040478686716148085,0.4047868671614808
